Commodity,Year,Attribute,Value,Notes
Frozen fruit (processed-weight basis): Per capita availability,1980,Berries-Strawberries-Pounds,1.373457576,
Frozen fruit (processed-weight basis): Per capita availability,1981,Berries-Strawberries-Pounds,1.307836811,
Frozen fruit (processed-weight basis): Per capita availability,1982,Berries-Strawberries-Pounds,1.187727187,
Frozen fruit (processed-weight basis): Per capita availability,1983,Berries-Strawberries-Pounds,1.249053592,
Frozen fruit (processed-weight basis): Per capita availability,1984,Berries-Strawberries-Pounds,1.205485132,
Frozen fruit (processed-weight basis): Per capita availability,1985,Berries-Strawberries-Pounds,1.179002457,
Frozen fruit (processed-weight basis): Per capita availability,1986,Berries-Strawberries-Pounds,1.255361499,
Frozen fruit (processed-weight basis): Per capita availability,1987,Berries-Strawberries-Pounds,1.274715408,
Frozen fruit (processed-weight basis): Per capita availability,1988,Berries-Strawberries-Pounds,1.313805755,
Frozen fruit (processed-weight basis): Per capita availability,1989,Berries-Strawberries-Pounds,1.377382916,
Frozen fruit (processed-weight basis): Per capita availability,1990,Berries-Strawberries-Pounds,1.255879014,
Frozen fruit (processed-weight basis): Per capita availability,1991,Berries-Strawberries-Pounds,1.392791564,
Frozen fruit (processed-weight basis): Per capita availability,1992,Berries-Strawberries-Pounds,1.334127352,
Frozen fruit (processed-weight basis): Per capita availability,1993,Berries-Strawberries-Pounds,1.30468356,
Frozen fruit (processed-weight basis): Per capita availability,1994,Berries-Strawberries-Pounds,1.254312243,
Frozen fruit (processed-weight basis): Per capita availability,1995,Berries-Strawberries-Pounds,1.429926807,
Frozen fruit (processed-weight basis): Per capita availability,1996,Berries-Strawberries-Pounds,1.421130505,
Frozen fruit (processed-weight basis): Per capita availability,1997,Berries-Strawberries-Pounds,1.221228821,
Frozen fruit (processed-weight basis): Per capita availability,1998,Berries-Strawberries-Pounds,1.403621679,
Frozen fruit (processed-weight basis): Per capita availability,1999,Berries-Strawberries-Pounds,1.352350522,
Frozen fruit (processed-weight basis): Per capita availability,2000,Berries-Strawberries-Pounds,1.576418085,
Frozen fruit (processed-weight basis): Per capita availability,2001,Berries-Strawberries-Pounds,1.830658392,
Frozen fruit (processed-weight basis): Per capita availability,2002,Berries-Strawberries-Pounds,1.607464742,
Frozen fruit (processed-weight basis): Per capita availability,2003,Berries-Strawberries-Pounds,1.883084338,
Frozen fruit (processed-weight basis): Per capita availability,2004,Berries-Strawberries-Pounds,1.672728155,
Frozen fruit (processed-weight basis): Per capita availability,2005,Berries-Strawberries-Pounds,2.129357937,
Frozen fruit (processed-weight basis): Per capita availability,2006,Berries-Strawberries-Pounds,2.101070602,
